@relation mdl_assign
@attribute course {339,340,341,338,6,438,611,472,462,203,267,194,108,91,252,629,209,224,8,47,269,111,437,275,559,2,672,575,497,217,459,588,190,268,610,395,612,77,165,78,569,510,202,616,574,226,606,253,513,227,608,86,128,630,657,507,597,614,250,24,599,214,251,570,648,25,171,118,650,82,311,61,104,577,62,218,256,63,282,87,479,548,464,162,296,210,631,222,297,523,196,249,298,488,68,113,288,357,509,386,469,528,199,274,69,225,263,387,471,601,70,457,27,81,388,60,279,71,291,458,181,265,474,204,280,72,119,255,189,231,266,391,281,343,623,73,120,293,378,515,233,206,245,502,626,74,257,294,379,517,653,193,393,678,64,208,246,283,258,519,654,65,247,284,221,259,381,195,486,66,248,286,355,383,238,333,487,67,211,287,223,384,524,52,95,197,273,404,552,79,169,262,300,671,53,96,405,489,115,358,80,170,536,59,97,406,492,117,511,649,264,309,98,408,493,7,216,38,389,675,409,620,514,651,39,476,676,106,205,410,500,557,10,460,652,392,478,345,11,589,48,235,414,504,13,75,160,220,380,591,49,236,320,485,549,110,417,505,14,76,465,521,593,50,93,322,402,550,506,15,467,666,51,94,403,613,112,356,16,168,669,239,337,690,212,444,640,240,553,615,289,446,307,241,554,215,290,363,538,674,242,555,617,366,543,607,243,556,292,369,85,312,544,244,315,545,609,677,411,558,219,318,109,351,295,686,353,560,237,271,687,563,260,595,272,551,688,565,638,261,468}
@attribute alwaysshowdescription {1,0}
@attribute nosubmissions {0,1}
@attribute submissiondrafts {0,1}
@attribute sendnotifications {0,1}
@attribute sendlatenotifications {0,1}
@attribute grade {10,100,2,1,0,20,-2,6,3,4}
@attribute requiresubmissionstatement {0,1}
@attribute teamsubmission {0,1}
@attribute requireallteammemberssubmit {0,1}
@attribute attemptreopenmethod {none,untilpass,manual}
@attribute maxattempts {-1,1}
@attribute sendstudentnotifications {1,0}
@attribute preventsubmissionnotingroup {0,1}
@data
81,1,0,0,0,0,10,0,0,0,none,-1,1,0
82,1,0,0,0,0,10,0,1,0,none,-1,1,0
160,1,0,0,1,0,10,0,0,0,none,-1,1,0
160,1,0,0,1,0,10,0,0,0,none,-1,1,0
73,1,0,0,1,1,100,0,0,0,none,-1,1,0
74,1,0,0,1,1,100,0,0,0,none,-1,1,0
117,1,0,0,1,1,100,0,0,0,none,-1,1,0
119,1,0,0,1,1,100,0,0,0,none,-1,1,0
72,1,0,1,0,0,100,0,0,0,none,-1,1,0
72,1,0,0,1,1,100,0,0,0,none,-1,1,0
72,1,0,0,1,1,100,0,0,0,none,-1,1,0
71,1,0,1,0,0,100,0,0,0,none,-1,1,0
71,1,0,0,1,1,100,0,0,0,none,-1,1,0
71,1,0,0,1,1,100,0,0,0,none,-1,1,0
111,1,0,1,0,0,100,0,0,0,none,-1,1,0
111,1,0,0,1,1,100,0,0,0,none,-1,1,0
111,1,0,0,1,1,100,0,0,0,none,-1,1,0
108,1,0,1,0,0,100,0,0,0,none,-1,1,0
108,1,0,0,1,1,100,0,0,0,none,-1,1,0
108,1,0,0,1,1,100,0,0,0,none,-1,1,0
64,0,0,1,1,0,1,1,1,1,none,-1,1,1
64,1,0,0,1,0,10,0,0,0,none,-1,1,0
64,1,0,0,0,0,10,0,0,0,none,-1,1,0
2,1,0,0,0,0,10,0,0,0,none,-1,1,0
2,1,0,0,0,0,10,0,0,0,none,-1,1,0
108,1,0,1,0,0,100,0,0,0,none,-1,1,0
108,1,0,0,1,1,100,0,0,0,none,-1,1,0
108,1,0,0,1,1,100,0,0,0,none,-1,1,0
111,1,0,1,0,0,100,0,0,0,none,-1,1,0
111,1,0,0,1,1,100,0,0,0,none,-1,1,0
111,1,0,0,1,1,100,0,0,0,none,-1,1,0
108,1,0,0,1,1,100,0,0,0,none,-1,1,0
108,1,0,0,1,1,100,0,0,0,none,-1,1,0
111,1,0,0,1,1,100,0,0,0,none,-1,1,0
111,1,0,0,1,1,100,0,0,0,none,-1,1,0
82,1,0,0,0,0,10,0,0,0,none,-1,1,0
10,1,0,1,0,0,10,1,0,0,none,-1,1,0
11,1,0,1,0,0,10,0,0,0,none,-1,1,0
128,1,0,0,0,0,10,0,0,0,none,-1,1,0
128,1,0,0,0,0,10,0,0,0,none,-1,1,0
128,1,0,0,0,0,10,0,0,0,none,-1,1,0
70,1,0,1,0,0,10,0,0,0,none,-1,1,0
74,1,0,0,0,0,10,0,0,0,none,-1,1,0
119,1,0,0,0,0,10,0,0,0,none,-1,1,0
117,1,0,0,0,0,10,0,0,0,none,-1,1,0
7,1,0,0,0,0,10,0,0,0,none,-1,1,0
81,1,0,0,0,0,10,0,0,0,none,-1,1,0
162,1,0,0,0,0,10,0,0,0,none,-1,1,0
162,1,0,0,0,0,10,0,0,0,none,-1,1,0
60,1,0,0,0,0,10,0,0,0,none,-1,1,0
60,1,0,0,0,0,10,0,0,0,none,-1,1,0
59,1,0,0,0,0,10,0,0,0,none,-1,1,0
82,1,0,0,0,0,10,0,0,0,none,-1,1,0
118,1,0,0,0,0,10,0,0,0,none,-1,1,0
120,1,0,0,0,0,10,0,0,0,none,-1,1,0
81,1,0,0,0,0,10,0,0,0,none,-1,1,0
118,1,0,0,0,0,10,0,0,0,none,-1,1,0
82,1,0,0,0,0,10,0,0,0,none,-1,1,0
118,1,0,0,0,0,10,0,0,0,none,-1,1,0
120,1,0,0,0,0,10,0,0,0,none,-1,1,0
118,1,0,0,0,0,10,0,0,0,none,-1,1,0
120,1,0,0,0,0,10,0,0,0,none,-1,1,0
62,1,0,0,0,0,10,0,0,0,none,-1,1,0
63,1,0,0,0,0,10,0,0,0,none,-1,1,0
63,1,0,0,0,0,10,0,0,0,none,-1,1,0
63,1,0,0,0,0,10,0,0,0,none,-1,1,0
63,1,0,0,0,0,10,0,0,0,none,-1,1,0
